KukaTheta-1 KukaTheta-2 KukaTheta-3 KukaTheta-4 KukaTheta-5 KukaTheta-6 
5.44 0.00 0.00 0.00 0.00 0.00 
5.69 0.00 0.00 0.00 0.00 0.00 
5.95 0.00 0.00 0.00 0.00 0.00 
6.21 0.00 0.00 0.00 0.00 0.00 
6.48 0.00 0.00 0.00 0.00 0.00 
6.76 0.00 0.00 0.00 0.00 0.00 
7.05 0.00 0.00 0.00 0.00 0.00 
7.35 0.00 0.00 0.00 0.00 0.00 
7.65 0.00 0.00 0.00 0.00 0.00 
7.97 0.00 0.00 0.00 0.00 0.00 
8.29 0.00 0.00 0.00 0.00 0.00 
8.62 0.00 0.00 0.00 0.00 0.00 
8.97 0.00 0.00 0.00 0.00 0.00 
9.31 0.00 0.00 0.00 0.00 0.00 
9.67 0.00 0.00 0.00 0.00 0.00 
10.04 0.00 0.00 0.00 0.00 0.00 
10.41 0.00 0.00 0.00 0.00 0.00 
10.80 0.00 0.00 0.00 0.00 0.00 
11.19 0.00 0.00 0.00 0.00 0.00 
11.59 0.00 0.00 0.00 0.00 0.00 
12.00 0.00 0.00 0.00 0.00 0.00 
12.42 0.00 0.00 0.00 0.00 0.00 
12.85 0.00 0.00 0.00 0.00 0.00 
13.28 0.00 0.00 0.00 0.00 0.00 
13.72 0.00 0.00 0.00 0.00 0.00 
14.17 0.00 0.00 0.00 0.00 0.00 
14.63 0.00 0.00 0.00 0.00 0.00 
15.10 0.00 0.00 0.00 0.00 0.00 
15.57 0.00 0.00 0.00 0.00 0.00 
16.05 0.00 0.00 0.00 0.00 0.00 
16.54 0.00 0.00 0.00 0.00 0.00 
17.03 0.00 0.00 0.00 0.00 0.00 
17.53 0.00 0.00 0.00 0.00 0.00 
18.04 0.00 0.00 0.00 0.00 0.00 
18.55 0.00 0.00 0.00 0.00 0.00 
19.07 0.00 0.00 0.00 0.00 0.00 
19.60 0.00 0.00 0.00 0.00 0.00 
20.13 0.00 0.00 0.00 0.00 0.00 
20.66 0.00 0.00 0.00 0.00 0.00 
21.20 0.00 0.00 0.00 0.00 0.00 
21.74 0.00 0.00 0.00 0.00 0.00 
22.29 0.00 0.00 0.00 0.00 0.00 
22.84 0.00 0.00 0.00 0.00 0.00 
23.39 0.00 0.00 0.00 0.00 0.00 
23.95 0.00 0.00 0.00 0.00 0.00 
24.51 0.00 0.00 0.00 0.00 0.00 
25.07 0.00 0.00 0.00 0.00 0.00 
25.63 0.00 0.00 0.00 0.00 0.00 
26.19 0.00 0.00 0.00 0.00 0.00 
26.75 0.00 0.00 0.00 0.00 0.00 
27.32 0.00 0.00 0.00 0.00 0.00 
27.88 0.00 0.00 0.00 0.00 0.00 
28.44 0.00 0.00 0.00 0.00 0.00 
29.00 0.00 0.00 0.00 0.00 0.00 
29.56 0.00 0.00 0.00 0.00 0.00 
30.11 0.00 0.00 0.00 0.00 0.00 
30.67 0.00 0.00 0.00 0.00 0.00 
31.22 0.00 0.00 0.00 0.00 0.00 
31.76 0.00 0.00 0.00 0.00 0.00 
32.31 0.00 0.00 0.00 0.00 0.00 
32.84 0.00 0.00 0.00 0.00 0.00 
33.37 0.00 0.00 0.00 0.00 0.00 
